Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,Manufacturer_Part_Number,UST_id
1,,C_Small-Device-ISM02A-rescue,C2,100nF,C_0805_2012Metric,1, ,,,,,,,C0805_100n 5c70984812875079b91f8bf2
2,Unpolarized capacitor,C,C3 C4,100nF,C_0805_2012Metric,2, ,~,,,,,,
3,,C_Small-Device-ISM02A-rescue,C1,10uF,C_0805_2012Metric,1, ,,,,,,,5c70984812875079b91f8bbe
4,,D_ZENER-MLAB_D,D1,"BZV55C-5,6V",D_SMA,1, ,,,,,,,5c70984512875079b91f88b2
5,High Speed Comparator with LVDS Output,LMH7220MK_NOPB,IC2,LMH7220MK_NOPB,SOT-23-6,1, ,http://www.ti.com/lit/gpn/lmh7220,1.1,926-LMH7220MK/NOPB,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LMH7220MK-NOPB?qs=7lkVKPoqpbY%252B%252BlU26oUBug%3D%3D,Texas Instruments,LMH7220MK/NOPB,
6,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,IC1,TLV3604DCKR,SC-70-6,1, ,https://www.ti.com/lit/gpn/tlv3604,1.1,595-TLV3604DCKR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV3604DCKR?qs=eP2BKZSCXI640M7VQt%252Bohw%3D%3D,Texas Instruments,TLV3604DCKR,
7,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J2 J3 J4 J5,Conn_Coaxial,SMA6251A13G50,4, , ~,,,,,,
8,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J6 J7,HEADER_2x04_PARALLEL,Straight_2x04,2, ,,,,,,,
9,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,Umin ... Umax,Straight_2x03,1, ,,,,,,,
10,,HOLE,M3 M4,HOLE,MountingHole_3mm,2, ,,,,,,,
11,,HOLE,M1 M2,HOLE M3,MountingHole_3mm,2, ,,,,,,,





Project info:
Schematic:,ACOMP01
Variant:,default
Revision:,A
Date:,2023-02-09
KiCad Version:,6.0.10+dfsg-1~bpo11+1
Statistics:
Component Groups:,12
Component Count:,20
Fitted Components:,18
Number of PCBs:,1
Total Components:,18
