Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",15.4940,14.2240,-90.0000,bottom
"C2","1uF","C_0805_2012Metric",11.4300,20.5740,0.0000,bottom
"C3","100nF","C_0805_2012Metric",9.9060,10.1600,0.0000,bottom
"C4","100nF","C_0805_2012Metric",7.8740,20.5740,180.0000,bottom
"D1","BZV55C-5,6V","D_SMA",6.6040,15.2400,-90.0000,bottom
"IC1","TLV3604DCKR","SC-70-6",9.1440,7.1374,90.0000,bottom
"IC2","LMH7220MK_NOPB","SOT-23-6",7.7470,23.8760,0.0000,bottom
"J1","2,4 - 5,5V","Straight_2x03",11.4300,15.2400,0.0000,top
"J2","Conn_Coaxial","SMA6251A13G50",10.1600,0.0000,0.0000,top
"J3","Conn_Coaxial","SMA6251A13G50",0.0000,10.1600,0.0000,top
"J4","Conn_Coaxial","SMA6251A13G50",0.0000,20.3200,0.0000,top
"J5","Conn_Coaxial","SMA6251A13G50",10.1600,30.4800,0.0000,top
"J6","HEADER_2x04_PARALLEL","Straight_2x04",20.3200,10.1600,180.0000,top
"J7","HEADER_2x04_PARALLEL","Straight_2x04",20.3200,20.3200,180.0000,top
"M1","HOLE M3","MountingHole_3mm",20.3200,30.4800,0.0000,top
"M2","HOLE M3","MountingHole_3mm",0.0000,30.4800,0.0000,top
"M3","HOLE","MountingHole_3mm",0.0000,0.0000,0.0000,top
"M4","HOLE","MountingHole_3mm",20.3200,0.0000,0.0000,top
"R1","DNF","R_0805_2012Metric",16.5354,10.1600,90.0000,bottom
"R2","DNF","R_0805_2012Metric",16.5354,20.3200,90.0000,bottom
